_time,host,DestinationIp,DestinationPort
2026-02-18T22:24:53.530+0000,DESKTOP-LFOEPCP,13.89.179.8,443
2026-02-18T22:24:47.791+0000,DESKTOP-LFOEPCP,13.89.179.8,443
2026-02-18T22:19:56.522+0000,DESKTOP-LFOEPCP,13.107.6.163,443
2026-02-18T22:19:55.475+0000,DESKTOP-LFOEPCP,52.96.164.82,443
2026-02-18T22:19:55.475+0000,DESKTOP-LFOEPCP,52.108.9.12,443
2026-02-18T22:19:53.412+0000,DESKTOP-LFOEPCP,40.99.44.2,443
2026-02-18T22:19:53.412+0000,DESKTOP-LFOEPCP,204.191.74.106,443
2026-02-18T21:32:21.436+0000,DESKTOP-LFOEPCP,20.189.173.18,443
2026-02-18T21:32:17.610+0000,DESKTOP-LFOEPCP,20.189.173.18,443
2026-02-18T20:39:55.685+0000,DESKTOP-LFOEPCP,104.46.162.227,443
2026-02-18T20:39:48.178+0000,DESKTOP-LFOEPCP,104.46.162.227,443
2026-02-18T19:48:07.626+0000,DESKTOP-LFOEPCP,170.114.52.4,443
2026-02-18T19:47:36.680+0000,DESKTOP-LFOEPCP,52.110.2.71,443
2026-02-18T19:47:18.099+0000,DESKTOP-LFOEPCP,52.168.112.66,443
2026-02-18T19:42:30.443+0000,DESKTOP-LFOEPCP,52.110.2.18,443
2026-02-18T19:42:21.505+0000,DESKTOP-LFOEPCP,13.107.6.163,443
2026-02-18T19:42:20.873+0000,DESKTOP-LFOEPCP,52.96.164.210,443
2026-02-18T19:42:20.617+0000,DESKTOP-LFOEPCP,52.108.9.12,443
2026-02-18T19:42:19.602+0000,DESKTOP-LFOEPCP,52.111.246.2,443
2026-02-18T19:42:18.282+0000,DESKTOP-LFOEPCP,52.98.88.66,443
2026-02-18T19:42:17.757+0000,DESKTOP-LFOEPCP,52.96.164.114,443
2026-02-18T19:42:17.504+0000,DESKTOP-LFOEPCP,204.191.74.144,443
2026-02-18T19:42:17.504+0000,DESKTOP-LFOEPCP,52.123.248.11,443
2026-02-18T05:53:31.389+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T05:01:06.902+0000,DESKTOP-LFOEPCP,20.189.173.2,443
2026-02-18T05:01:01.494+0000,DESKTOP-LFOEPCP,20.189.173.2,443
2026-02-18T04:56:01.545+0000,DESKTOP-LFOEPCP,52.123.128.14,443
2026-02-18T04:04:33.792+0000,DESKTOP-LFOEPCP,52.138.229.66,443
2026-02-18T04:04:29.424+0000,DESKTOP-LFOEPCP,52.138.229.66,443
2026-02-18T04:04:11.337+0000,DESKTOP-LFOEPCP,52.110.2.48,443
2026-02-18T01:36:17.359+0000,DESKTOP-LFOEPCP,52.110.2.81,443
2026-02-18T01:34:43.641+0000,DESKTOP-LFOEPCP,20.42.73.24,443
2026-02-18T01:34:39.289+0000,DESKTOP-LFOEPCP,20.42.73.24,443
2026-02-18T00:47:09.034+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T00:42:06.078+0000,DESKTOP-LFOEPCP,52.110.2.5,443
2026-02-18T00:38:01.735+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T00:33:01.951+0000,DESKTOP-LFOEPCP,52.110.2.76,443
2026-02-18T00:31:05.349+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T00:25:58.265+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T00:25:52.578+0000,DESKTOP-LFOEPCP,20.189.173.24,443
2026-02-18T00:25:26.328+0000,DESKTOP-LFOEPCP,23.196.193.245,80
2026-02-18T00:25:25.827+0000,DESKTOP-LFOEPCP,52.96.164.66,443
2026-02-18T00:25:25.827+0000,DESKTOP-LFOEPCP,52.96.164.66,443
2026-02-18T00:25:24.281+0000,DESKTOP-LFOEPCP,52.110.2.17,443
2026-02-18T00:16:41.640+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:16:32.311+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:16:23.219+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:16:07.857+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:15:58.761+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:15:49.088+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:15:33.692+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:15:24.612+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:15:09.593+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-18T00:01:14.768+0000,DESKTOP-LFOEPCP,52.96.121.50,443
2026-02-17T23:56:09.867+0000,DESKTOP-LFOEPCP,52.110.2.6,443
2026-02-17T23:49:42.856+0000,DESKTOP-LFOEPCP,40.74.98.193,443
2026-02-17T23:49:38.718+0000,DESKTOP-LFOEPCP,40.74.98.193,443
2026-02-17T23:44:45.455+0000,DESKTOP-LFOEPCP,13.107.6.163,443
2026-02-17T23:44:45.454+0000,DESKTOP-LFOEPCP,184.30.150.114,443
2026-02-17T23:44:45.454+0000,DESKTOP-LFOEPCP,52.108.0.119,443
2026-02-17T23:44:43.408+0000,DESKTOP-LFOEPCP,52.97.12.114,443
2026-02-17T23:44:42.641+0000,DESKTOP-LFOEPCP,184.30.150.84,443
2026-02-17T23:30:21.338+0000,DESKTOP-LFOEPCP,52.110.2.54,443
2026-02-17T23:25:48.750+0000,DESKTOP-LFOEPCP,20.44.239.154,443
2026-02-17T23:18:34.844+0000,DESKTOP-LFOEPCP,52.110.2.58,443
2026-02-17T23:12:38.096+0000,DESKTOP-LFOEPCP,20.189.173.10,443
2026-02-17T23:06:08.067+0000,DESKTOP-LFOEPCP,52.110.2.2,443
2026-02-17T23:04:02.731+0000,DESKTOP-LFOEPCP,20.189.173.10,443
2026-02-17T22:58:39.668+0000,DESKTOP-LFOEPCP,52.110.2.16,443
2026-02-17T22:57:08.952+0000,DESKTOP-LFOEPCP,20.189.173.10,443
2026-02-17T22:52:45.187+0000,DESKTOP-LFOEPCP,1.1.1.1,443
2026-02-17T22:52:17.599+0000,DESKTOP-LFOEPCP,52.123.128.14,443
